start,,,
right,left,lighting led pin,
891.06,3052.66,0,3534183
883.81,3063.94,0,3651373
876.56,3047.83,0,3768423
876.56,3067.16,0,3906157
868.51,3067.16,0,4023358
873.34,3047.83,0,4140343
878.98,3059.11,0,4257358
883.01,3067.16,0,4374419
876.56,3051.05,0,4491358
876.56,3067.16,0,4608302
884.62,3060.72,0,4725376
884.62,3060.72,0,4842354
880.59,3080.05,0,4959376
876.56,3081.67,0,5076419
876.56,3057.5,0,5193306
871.73,3051.05,0,5317533
865.28,3070.39,0,5434388
880.59,3080.05,0,5551292
876.56,3131.62,0,5675207
872.53,3170.29,0,5792331
878.98,3176.73,0,5909295
876.56,3170.29,0,6026354
882.2,3160.62,0,6143295
876.56,3179.96,0,6260343
876.56,3150.15,0,6377306
876.56,3167.07,0,6494282
870.92,3175.93,0,6611306
866.09,3157.4,0,6728302
883.01,3125.17,0,6845295
876.56,3150.15,1,6962302
876.56,3142.9,1,7079306
878.17,3144.51,1,7196292
876.56,3092.94,1,7313335
878.17,3099.39,1,7430292
886.23,3092.94,1,7547316
885.42,3109.06,1,7664343
889.45,3092.94,1,7788183
891.06,3060.72,1,7905373
878.17,3092.94,1,8022316
876.56,3102.61,1,8139302
863.67,3102.61,1,8256316
887.84,3092.94,1,8373313
870.12,3107.45,1,8490316
864.48,3109.06,1,8607302
878.98,3092.94,1,8724316
876.56,3115.5,1,8841302
878.17,3107.45,1,8965536
876.56,3102.61,1,9082302
876.56,3092.94,1,9199326
877.37,3086.5,0,9316312
878.98,3083.28,0,9433316
881.4,3138.06,0,9550313
876.56,3133.23,0,9667316
876.56,3144.51,0,9791111
876.56,3134.84,0,9908306
915.23,3202.51,0,10025302
902.34,3144.51,0,10142358
881.4,3136.45,0,10268943
881.4,3115.5,0,10386306
891.06,3155.79,0,10503292
876.56,3144.51,0,10620305
876.56,3189.62,0,10737302
889.45,3167.07,0,10854316
863.67,3144.51,0,10971292
876.56,3154.17,0,11088358
883.01,3134.84,0,11205292
879.79,3138.06,0,11322316
872.53,3138.06,0,11439312
878.17,3141.28,0,11556306
876.56,3157.4,2,11673292
865.28,3160.62,2,11797183
880.59,3144.51,2,11914292
867.7,3034.94,2,12031376
838.7,2989.82,2,12148322
835.47,2989.82,2,12265376
837.89,2967.26,2,12382373
829.83,2964.04,2,12499388
835.47,2941.48,2,12616312
829.03,2964.04,2,12740138
833.06,2968.87,2,12857331
840.31,2976.93,2,12974305
837.89,2983.37,2,13091343
837.89,2973.71,2,13208388
838.7,2975.32,2,13325373
841.92,2978.54,2,13442388
848.36,2976.93,2,13559312
852.39,2975.32,2,13676377
858.84,2983.37,2,13793373
874.15,2989.82,2,13917358
861.25,2989.01,0,14034343
866.09,2989.82,0,14151306
878.17,2978.54,0,14268292
881.4,3067.16,0,14385358
912.01,3038.16,0,14502302
915.23,3076.83,0,14619346
928.12,3105.83,0,14736302
924.9,3123.56,0,14853358
915.23,3144.51,0,14977647
919.26,3157.4,0,15094358
979.69,3221.85,0,15211292
928.12,3125.17,0,15328335
915.23,3134.84,0,15445292
915.23,3131.62,0,15562388
896.7,3150.95,0,15679354
912.82,3138.06,0,15796411
910.4,3138.06,0,15920323
903.96,3160.62,0,16037357
902.34,3150.95,0,16154354
913.62,3163.84,0,16271358
907.18,3144.51,1,16388373
913.62,3138.06,1,16505377
915.23,3138.06,1,16622312
907.18,3118.73,1,16739388
903.96,3115.5,1,16856373
906.37,3067.16,1,16973400
902.34,3092.94,1,17090354
907.18,3092.94,1,17207316
899.93,3086.5,1,17324373
898.32,3073.61,1,17441376
