start,,,
right,left,lighting led pin,
873.34,2951.15,2,23176566
868.51,2947.92,2,23307532
868.51,2964.04,2,23445003
876.56,2928.59,0,23575572
867.7,2947.92,0,23706566
876.56,2996.26,0,23837562
890.26,2996.26,0,23968523
900.73,3022.05,0,24099572
894.29,3031.71,0,24230513
892.68,3047.83,0,24361572
901.54,3031.71,0,24500808
949.07,3057.5,0,24631634
897.51,3028.49,0,24762638
902.34,3039.77,0,24893572
894.29,3034.94,0,25024566
889.45,3041.38,0,25155573
894.29,3031.71,0,25286566
897.51,3051.05,0,25417573
906.37,3057.5,0,25548596
900.73,3047.83,0,25679592
895.09,3047.83,0,25860442
894.29,3054.27,0,25995504
892.68,3031.71,0,26136382
889.45,3057.5,2,26266606
896.7,3054.27,2,26397605
889.45,3067.16,2,26528625
863.67,2977.73,2,26659624
889.45,2969.68,2,26790606
854.81,2964.04,2,26921605
860.45,2954.37,2,27052606
863.67,2954.37,2,27183605
864.48,2941.48,2,27314606
863.67,2956.79,2,27445624
863.67,2960.82,2,27576625
863.67,2954.37,2,27707605
863.67,2964.04,2,27838606
865.28,2967.26,2,27969605
864.48,2957.59,2,28107175
866.89,2973.71,2,28237605
865.28,2976.93,2,28368595
876.56,2983.37,2,28499605
872.53,2989.82,2,28630595
877.37,2978.54,2,28761605
873.34,2973.71,1,28892595
893.48,2964.04,1,29023606
941.02,3051.05,1,29154595
907.18,3014.79,1,29285605
902.34,3034.13,1,29416595
889.45,3047.83,1,29547605
903.15,3028.49,1,29678595
902.34,3022.05,1,29809605
896.7,3034.94,1,29940595
899.93,3041.38,1,30071605
896.7,3041.38,1,30202595
897.51,3034.94,1,30347396
889.45,3034.94,1,30477606
897.51,3022.05,1,30608624
889.45,3028.49,1,30739625
889.45,3041.38,1,30870624
894.29,3060.72,1,31001637
893.48,3034.94,1,31132624
897.51,3054.27,1,31263606
912.01,3033.33,1,31394624
902.34,3031.71,0,31525606
913.62,3047.02,0,31656624
891.87,3051.05,0,31787606
889.45,3067.16,0,31918624
