right,left,light index,add,sub,light
876.56,2757.79,0,2757.79,2757.79,150
887.04,2715.89,0,2715.89,2715.89,150
899.12,2730.4,0,2730.4,2730.4,150
910.4,2741.67,0,2741.67,2741.67,150
899.12,2735.23,0,2735.23,2735.23,150
890.26,2764.23,0,2764.23,2764.23,150
897.51,2748.12,0,2748.12,2748.12,150
895.9,2754.57,0,2754.57,2754.57,150
896.7,2738.45,0,2738.45,2738.45,150
900.73,2743.29,0,2743.29,2743.29,150
893.48,2757.79,0,2757.79,2757.79,150
902.34,2751.34,0,2751.34,2751.34,150
910.4,2748.12,0,2748.12,2748.12,150
902.34,2744.9,0,2744.9,2744.9,150
904.76,2751.34,0,2751.34,2751.34,150
904.76,2762.62,0,2762.62,2762.62,150
899.12,2744.9,0,2744.9,2744.9,150
889.45,2738.45,1,2739.45,2737.45,90
893.48,2746.51,1,2747.51,2745.51,90
894.29,2732.01,1,2733.01,2731.01,90
887.84,2738.45,1,2739.45,2737.45,90
892.68,2722.34,1,2723.34,2721.34,90
889.45,2694.95,1,2695.95,2693.95,90
889.45,2706.23,1,2707.23,2705.23,90
889.45,2699.78,1,2700.78,2698.78,90
884.62,2730.4,1,2731.4,2729.4,90
879.79,2699.78,1,2700.78,2698.78,90
889.45,2719.12,1,2720.12,2718.12,90
884.62,2712.67,1,2713.67,2711.67,90
876.56,2706.23,1,2707.23,2705.23,90
878.17,2712.67,1,2713.67,2711.67,90
881.4,2709.45,1,2710.45,2708.45,90
881.4,2719.12,1,2720.12,2718.12,90
889.45,2706.23,1,2707.23,2705.23,90
886.23,2706.23,1,2707.23,2705.23,90
878.17,2732.01,1,2733.01,2731.01,90
876.56,2706.23,1,2707.23,2705.23,90
